Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,DJI_Volatility,SP500_Sharpe,SP500_Sortino,SP500_Return,SP500_Volatility,Random_Sharpe,Random_Sortino,Random_Return,Random_Volatility
2016-01-13,2021-01-13,2021-01-14,2022-01-14,0.07473921713629546,0.10399797356763828,0.1587624336244202,0.007792712312016218,0.08735177943151576,0.11969591408298418,0.21072961600408405,0.00865263188325267,0.07479095661417232,0.10719857845551233,0.19669159078601428,0.009579646193524858
2016-01-14,2021-01-14,2021-01-15,2022-01-18,0.06944053183945784,0.09611772161086377,0.1477955017908777,0.007846059951746445,0.07895139628822316,0.10701887638343528,0.19105109958501698,0.00875288067824032,0.07130835195868132,0.10181815683552714,0.19333315617686178,0.009830251758925164
2016-01-15,2021-01-15,2021-01-19,2022-01-19,0.062492951964944976,0.08698207496386673,0.1324946676731227,0.007869527429437206,0.07136082146590209,0.09721640388194402,0.17138550577072445,0.008761754695311076,0.06481242632331026,0.09348693255486547,0.16803192122078794,0.009509053529633603
2016-01-19,2021-01-19,2021-01-20,2022-01-20,0.05376365692667081,0.07513535734311089,0.11308729945064804,0.00787648059906323,0.061025266730917155,0.08336512272624522,0.14496307855809545,0.00876798687741413,0.056304755554887356,0.08132141882851698,0.1408889130419736,0.00933362920996717
2016-01-20,2021-01-20,2021-01-21,2022-01-21,0.047144198316145074,0.06611747414583524,0.09909418656685702,0.00792173674491103,0.05454018037592113,0.07452275789339635,0.12951206342299162,0.008825906823946876,0.050419803930252305,0.07239869015660401,0.12679784304980182,0.009452464798877975
2016-01-21,2021-01-21,2021-01-22,2022-01-24,0.051510534064680355,0.07185586011783619,0.10864024431815246,0.007913823860935672,0.060837916192359315,0.08293130758942718,0.1457473457376436,0.008839474497301495,0.054730973777313736,0.07798457196923572,0.14389666656618985,0.009823506479509218
2016-01-22,2021-01-22,2021-01-25,2022-01-25,0.05113057775989342,0.07139947387507682,0.10780783167797157,0.007914567862842132,0.05265771527084408,0.07157573939457644,0.1262189169919838,0.008922259755391657,0.048050825064749315,0.06875429164049278,0.1244659945992173,0.009753279003744262
2016-01-25,2021-01-25,2021-01-26,2022-01-26,0.04958436783055116,0.06950156020624035,0.10443956109447085,0.007918632816442468,0.05210226825017711,0.0708427195142258,0.12487229111421758,0.008926614788431271,0.04679096524195907,0.06741838850325686,0.12125888836539483,0.009719704915243392
2016-01-26,2021-01-26,2021-01-27,2022-01-27,0.0606737645748655,0.08597861449590669,0.12730058730061436,0.007806013306532291,0.06353027608079903,0.08900473730359414,0.15096647524579043,0.008747626727330144,0.05836620308503947,0.08618327232594669,0.15003444773251934,0.00958504595657215
2016-01-27,2021-01-27,2021-01-28,2022-01-28,0.06364254142892938,0.09066959702706505,0.1346946694475433,0.00784790900020823,0.06656147802371902,0.09395480020533925,0.16000194849447447,0.00881361101230959,0.063929513133872,0.09507930495359349,0.16744001643456963,0.009601583208497527
2016-01-28,2021-01-28,2021-01-29,2022-01-31,0.08066089079770035,0.11685761714884328,0.1717408412595292,0.007766401063260179,0.08358501445609959,0.11928625248422463,0.20520387842671414,0.00882624816445792,0.07703650694565616,0.11567578770258743,0.20497477778672782,0.009603971167471631
2016-01-29,2021-01-29,2021-02-01,2022-02-01,0.08072360243516694,0.11695569424287902,0.17189671550528046,0.007766880766250958,0.07971913143571457,0.1131449218220491,0.19367803551340199,0.008777819973984257,0.07132198530200824,0.10662323482431964,0.19039096253526785,0.009747228849837893
2016-02-01,2021-02-01,2021-02-02,2022-02-02,0.07647263288364896,0.11009186650777669,0.16103790799255854,0.007717470778580856,0.07688901697636595,0.10867859399381735,0.18536507289137455,0.00874165905218395,0.06926292506116112,0.10288064820683142,0.1821980523189316,0.00960354978580395
2016-02-02,2021-02-02,2021-02-03,2022-02-03,0.06784704303303721,0.09771454544711397,0.14280750311354076,0.007776615743872342,0.07111650471812932,0.10013570138076149,0.17158489591785686,0.008801314879744945,0.06707211068831925,0.09957777642142003,0.17891400575560973,0.009791231414938283
